Quote;Author;FR;FR;ITA;ITA;SPA;SPA;GER;GER;POL;POL;POR;POR;RUS;RUS
'A good plan violently executed now is better than a perfect plan executed next week.';George S. Patton;'Jugez-moi, c'est vous que vous jugerez.';Propos prкtйs а Adolf Hitler par Georges Steiner;'Un buon piano violentemente eseguito adesso и meglio di un piano perfetto eseguito la settimana prossima.';George S. Patton;'Un buen plan violentamente ejecutado ahora, es mejor que un plan excelente ejecutado la semana que viene.';George S. Patton;'Ein guter Plan heute mit Gewalt durchgefьhrt, ist besser als ein perfekter Plan in der nдchsten Woche.';George S. Patton;'Dobry plan pospiesznie wykonany dziњ jest lepszy, niї doskonaіy plan wykonany w przyszіym tygodniu.';George S. Patton;;;'Лучше жестко выполненый план здесь и сейчас, чем великолепный план завтра.';Джордж Паттон
'It is foolish and wrong to mourn the men who died. Rather we should thank God that such men lived.';George S. Patton;'C'est une erreur que de regretter les hommes qui sont morts. Nous devrions remercier Dieu qu'ils aient vйcu.';George S. Patton;'E' stupido e sbagliato piangere gli uomini che sono morti. Piuttosto dovremmo ringraziare Dio che tali uomini siano vissuti.';George S. Patton;'Es estъpido y absurdo llorar por aquellos que han muerto. Sino que debemos dar gracias a Dios por aquellos que siguen vivos.';George S. Patton;'Es ist nдrrisch und dumm jene Mдnner zu betrauern die gestorben sind. Lieber sollten wir Gott danken, dass solche Leute am Leben waren.';George S. Patton;'Jest gіupi№ i zі№ rzecz№ opіakiwaж ludzi, ktуrzy zginкli. Powinniњmy raczej dziкkowaж Bogu, їe tacy ludzie їyli.';George S. Patton;;;'Глупо скорбеть о погибших. Давайте лучше порадуемся за тех, кто выжил.';Джордж Паттон
'Nobody ever defended anything successfully, there is only attack and attack and attack some more.';George S. Patton;'Le succиs est le seul juge ici-bas de ce qui est bon et mauvais.';Adolf Hitler;'Nessuno ha mai difeso niente con successo, c'и solo attaccare e attaccare e attaccare ancora.';George S. Patton;'Nadie ha defendido nunca nada con йxito. Solo se puede atacar, atacar, atacar y poco mбs.';George S. Patton;Niemand hat jemals irgendetwas erfolgreich verteidigt, es gibt nur angreifen, angreifen und wieder angreifen.';George S. Patton;'Nikt nigdy nie broniі niczego z powodzeniem, istnieje tylko atak, tak i jeszcze raz atak.';George S. Patton;;;'Никто еще не сумел что-либо защитить. Все только атакуют.';Джордж Паттон
'Wars may be fought with weapons, but they are won by men. It is the spirit of men who follow and of the man who leads that gains the victory.';George S. Patton;'Les caresses n'ont jamais transformй un tigre en chaton.';Franklin D. Roosevelt;'Le guerre possono essere combattute con le armi, ma sono vinte dagli uomini. E' lo spirito degli uomini che seguono e di quelli che conducono che ottiene la vittoria.';George S. Patton;'Las guerras pueden ser luchadas con armas, pero son ganadas por los hombres. Es el espнritu de los hombres que siguen a aquel que los lidera hacia la victoria.';George S. Patton;Kriege mцgen mit Waffen gefьhrt werden, aber gewonnen werden sie von Mдnnern. Es ist die Seele jener Mдnner die folgen und jener die fьhren, die die den Sieg erringt.';George S. Patton;'Wojny s№ prowadzone przy uїyciu broni, ale wygrywaj№ je ludzie. To duch czіowieka, ktуry pod№їa za przywуdc№ i duch dowуdcy, ktуry prowadzi, przynosz№ zwyciкstwo.';George S. Patton;;;'Войну можно выиграть оружием, но выигрывают ее люди.';Джордж Паттон
'We herd sheep, we drive cattle, we lead people. Lead me, follow me, or get out of my way.';George S. Patton;'Avant El-Alamein, nous n'avions jamais connu de victoires. Aprиs El-Alamein, nous n'avons plus connu de dйfaites.';Sir Winston Churchill;'Noi alleviamo greggi, conduciamo il bestiame, guidiamo persone. Guidami, seguimi o levati dalla mia strada.';George S. Patton;'Somos un rebaсo de ovejas, conducimos al ganado, guiamos a la gente. Guiarme, seguirme, o salir de mi camino.';George S. Patton;'Wir hьten Schafe, wir treiben Rinder, wir fьhren Menschen. Fьhre mich, folge mir oder geh mir aus dem Weg.';George S. Patton;'Pкdzimy owce, gonimy bydіo, prowadzimy ludzi. Prowadџ mnie, pod№їaj za mn№ lub zejdџ mi z oczu.';George S. Patton;;;'Мы пасем овец, мы гоним скот, мы ведем людей. Идите за мной или убирайтесь прочь!';Джордж Паттон
'Don't let the bastards grind you down.';Joseph W. Stilwell;'On ne fait pas la guerre pour se dйbarrasser de la guerre.';Jean Jaurиs;'Non lasciare che i bastardi ti sfiniscano.';Joseph W. Stilwell;'No permitбis que esos bastardos acaben con vosotros.';Joseph W. Stilwell;'Lasst euch nicht von den Schweinehunden aufreiben.';Joseph W. Stilwell;'Nie pozwуl skurwielom siebie przemieliж.';Joseph W. Stilwell;;;'Не позволяйте этим ублюдкам стереть вас в порошок.';Джозеф Стилвелл
'You can't have an air raid without bombs!';Joseph W. Stilwell;'Nous n'accepterons que la victoire totale !';Dwight D. Eisenhower;'Non puoi avere un raid aereo senza bombe!';Joseph W. Stilwell;'ЎNo puede haber un ataque aйreo sin bombas!';Joseph W. Stilwell;'Du kannst keinen Luftangriff ohne Bomben haben.';Joseph W. Stilwell;'Nie moїesz zrobiж nalotu bez bomb!';Joseph W. Stilwell;;;'Вы не сможете бомбить без бомб!';Джозеф Стилвелл
'Any competent officer can command a Panzer Division, it takes a genius to supply one.';Hasso-Eccard Freiherr von Manteuffel;'N'importe quel gйnйral peut commander une Panzer-Division. Seul un gйnie peut la ravitailler.';Hasso-Eccard Freiherr von Manteuffel;'Ogni ufficiale competente puт comandare una divisione di carri armati, ma ci vuole un genio per rifornirla.';Hasso-Eccard Freiherr von Manteuffel;'Cualquier oficial competente puede mandar una Divisiуn Panzer, pero se necesita un genio para aprovisionarla.';Hasso-Eccard Freiherr von Manteuffel;'Jeder gute Offizier kann eine Panzer Division kommandieren, aber man muss ein Genie sein um sie zu versorgen.';Hasso-Eccard Freiherr von Manteuffel;'Kaїdy kompetentny dowуdca moїe prowadziж dywizjк pancern№, ale potrzeba geniusza, by j№ zaopatrzyі.';Hasso-Eccard Freiherr von Manteuffel;;;'Любой компетентный командир может управлять танковой дивизей. А вот снабжать ее под силу только гению.';Хассо Эккард Фрайхер фон Мантойфель
'In general our generals were outgeneralled.';John Adams;'Vous aviez а choisir entre la guerre et le dйshonneur. Vous avez choisi le dйshonneur et vous aurez la guerre.';Sir Winston Churchill;'In generale i nostri generali sono stati battuti da altri generali.';John Adams;'En general, nuestros Generales han sido desgeneralizados.';John Adams;'Generell ist zu sagen dass unsere Generдle den anderen Generдlen generell unterlegen waren.';John Adams;'Generalnie nasi generaіowie ulegli ich generaіom.';John Adams;;;'Говоря генеральским языком, наших генералов перегенералили.';Джон Адамс
'I know not with what weapons World War III will be fought, but World War IV will be fought with sticks and stones.';Albert Einstein;'Je ne sais pas quelles armes seront utilisйes pour la troisiиme guerre mondiale, si elle a lieu. Mais la quatriиme se rиglera а coups de massues.';Albert Einstein;'Non so con quali armi si combatterа la Terza Guerra Mondiale, ma la Quarta Guerra Mondiale sarа combattuta con sassi e bastoni.';Albert Einstein;'No se con que armas se lucharб en la Tercera Guerra Mundial, solo se que en la cuarta se luchara con piedras y palos.';Albert Einstein;Ich bin nicht sicher, mit welchen Waffen der dritte Weltkrieg ausgetragen wird, aber im vierten Weltkrieg werden sie mit Pfeil und Bogen kдmpfen.';Albert Einstein;'Nie wiem przy uїyciu jakich broni toczona bкdzie III Wojna Њwiatowa, ale IV Wojna Њwiatowa bкdzie prowadzona przy uїyciu kijуw i kamieni.';Albert Einstein;;;'Не знаю, какое оружие будут использовать в третьей мировой, но в четвертой в ход пойдут каменные топоры.';Альберт Эйнштейн
'Soldiers usually win the battles and generals get the credit for them.';Napoleon Bonaparte;'Ce sont les soldats qui remportent les victoires mais les gйnйraux qui s'en vantent.';Napolйon Bonaparte;'Una guerra non и persa finchй tu non la consideri persa.';Feldmaresciallo Erich von Manstein;'Normalmente los soldados ganan las batallas, pero el crйdito se lo llevan los generales .';Napoleon Bonaparte;'Normalerweise gewinnen Soldaten die Schlachten, wдhrend die Generдle die Lorbeeren einheimsen.';Napoleon Bonaparte;'Wojna nie jest przegrana dopуki nie uznasz jej za tak№.';Feldmarszaіek Erich von Manstein;;;'Бой обычно выигрывают солдаты, а генералы получают славу.';Наполеон Бонапарт
'Attacks on cities are strategically justified in so far as they tend to shorten the war and so preserve the lives of allied soldiers.';Air Chief Marshal Sir Arthur 'Bomber' Harris, 29th March 1945;'Les bombardements urbains sont justifiйs stratйgiquement en ce qu'ils tendent а raccourcir la guerre et а prйserver la vie de soldats alliйs.';Air Chief Marshal Sir Arthur 'Bomber' Harris, 29 Mars 1945;'Gli attacchi sulle cittа sono giustificati strategicamente perchй tendono ad accorciare la guerra e quindi preservare la vita dei soldati alleati.';Maresciallo dell'Aria Sir Arthur 'Bombardiere' Harris, 29 Marzo 1945;'Atacar las ciudades esta estratйgicamente justificado, en la medida que tiende a disminuir la duraciуn de las guerras y de esta manera salvar la vida a mas soldados.';Mariscal Jefe del Aire Sir Arthur 'Bombardero' Harris, 29 de Marzo de 1945;'Angriffe auf Stдdte sind insofern strategisch gerechtfertigt, dass sie in der Regel den Krieg verkьrzen und so das Leben alliierter Soldaten retten.';Air Chief Marshal Sir Arthur 'Bomber' Harris, 29. Mдrz 1945;'Ataki na miasta s№ uzasadnione strategicznie tak dіugo, jak pozwalaj№ skrуciж wojnк i zachowaж їycie naszych sojuszniczych їoіnierzy.';Marszaіek Wojsk Powietrznych Sir Arthur 'Bombowiec' Harris, 29 marca 1945;;;'Уничтожение городов стратегически оправдано, так как это приведет к приближению нашей победы и сбережет жизни наших солдат.';Маршал авиации сэр Артур Харрис, 29-го марта 1945 г.
'Technological progress is like an axe in the hands of a pathological criminal.';Albert Einstein;'Ce n'est pas la fin. Ce n'est mкme pas le commencement de la fin. Mais, c'est peut-кtre la fin du commencement.';Sir Winston Churchill, 10 novembre 1942;'Il progresso tecnologico и come un'ascia in mano ad un criminale patologico.';Albert Einstein;'El progreso tecnolуgico es como un hacha en las manos de un criminal patolуgico.';Albert Einstein;'Technischer Fortschritt ist wie eine Axt in der Hand eines pathologischen Kriminellen.';Albert Einstein;'Postкp technologiczny jest jak siekiera w rкkach patologicznego kryminalisty.';Albert Einstein;;;'Технологический прогресс - все равно, что топор в руках у маньяка.';Альберт Эйнштейн
'Heroism on command, senseless violence, and all the loathsome nonsense that goes by the name of patriotism -- how passionately I hate them!';Albert Einstein;'Si vous dйsirez la sympathie des masses, vous devez leur dire les choses les plus stupides et les plus crues.';Adolf Hitler;'Eroismo a comando, violenza insensata e tutta la disgustosa mancanza di ragione che porta il nome di patriottismo - quanto appassionatamente li odio!';Albert Einstein;'Heroнsmo en el mando, violencia sin sentido, y todo aquello repugnante y absurdo que se hace bajo el nombre de patriotismo -- ЎComo lo odio!';Albert Einstein;Heldentum auf Kommando, sinnlose Gewalt, und alle der abscheuliche Unsinn im Namen des Patriotismus, wie leidenschaftlich ich sie hasse!';Albert Einstein;'Heroizm na rozkaz, bezprzykіadna przemoc i caіy ten obrzydliwy nosens, ktуry kryje siк za pojкciem patriotyzmu -- jak strasznie ich nienawidzк!';Albert Einstein;;;'Геройство по приказу, бессмысленная жестокость, и все то отвратительное действо, называемое патриотизмом, как же я его ненавижу!';Альберт Эйнштейн
'Commit all of your atrocities at once.';Niccolт Machiavelli;'Commettez toutes les atrocitйs en une seule fois.';Nicolas Machiavel;'Commetti tutte le tue atrocitа in una sola volta.';Niccolт Machiavelli;'Hacer todas vuestras atrocidades a la vez.';Niccolт Machiavelli;'Begehe alle deine Greueltaten auf einmal.';Niccolт Machiavelli;'Popeіniaj wszystkie swoje zbrodnie za jednym razem.';Niccolт Machiavelli;;;'Делайте все злодеяния сразу же.';Никколо Маккиавелли
'Optimistic officers learn Arabic and pessimists Russian.';German joke;'Les officiers les plus optimistes apprennent l'anglais, les plus pessimistes apprennent le russe.';Plaisanterie allemande;'Gli ufficiali ottimisti imparano l'Inglese e quelli pessimisti il Russo.';Battuta tedesca;'Los oficiales optimistas aprenden Ingles y los pesimistas Ruso.';Broma alemana;Optimistische Offiziere lernen englisch, pessimistische russisch.;Alter deutscher Witz;'Optymistycznie nastawieni oficerowie ucz№ siк angielskiego, pesymiњci rosyjskiego.';dowcip niemiecki;;;'Офицеры-оптимисты учат английский. Пессимисты - учат русский.';Немецкая шутка
'What is best in life? To crush your enemies, see them driven before you, and to hear the lamentation of their women!';Conan the Barbarian;'La meilleure chose dans la vie ? Dйtruire vos ennemis, les voir vous ramper devant vous et entendre les lamentations de leurs femmes !';Conan le Barbare;'Cos'и il meglio nella vita? Distruggere i tuoi nemici, vederli scappare di fronte a te e ascoltare i lamenti delle loro donne.';Conan il Barbaro;'їQuй es lo mejor en la vida? ЎAplastar a tus amigos, ver como se los llevan delante tuya, y escuchar como lloran sus mujeres!';Conan el Barbaro;'Was ist das Beste im Leben?' - 'Zu kдmpfen mit dem Feind, ihn zu verfolgen und zu vernichten, und sich zu erfreuen am Geschrei der Weiber';Conan der Barbar;'Co jest najlepszego w їyciu? Zgnieњж opуr wrogуw, widzieж ich pкdzonych przed sob№ i sіyszeж lamenty ich kobiet!';Conan Barbarzyсca;;;'Что лучшее в жизни? Уничтожить врагов, погнать их прочь и слышать плач их жен.' ;Конан Варвар
'I can't listen to that much Wagner. I start getting the urge to conquer Poland.';Woody Allen;'Quand j'йcoute trop Wagner, j'ai envie d'envahir la Pologne.';Woody Allen;'La rivoluzione и violenza!';Mao Zedong;'A los ojos de los constructores de grandes inferiores, los hombres no son hombre sino instrumentos.';Woody Allen;'Revolution ist Gewalt!';Mao Tse-tung;'Rewolucja jest przemoc№!';Mao Zedong;;;'Не могу слушать так много Вагнера. Я сразу хочу захватить Польшу.';Вудли Аллен
'Political power grows out of the barrel of a gun.';Mao Zedong;'La guerre ! C'est une chose trop grave pour la confier а des militaires !';Georges Clйmenceau;'Il potere politico cresce dalla punta di una pistola.';Mao Zedong;'El poder polнtico crece desde el caсуn de un arma.';Mao Zedong;'Politische Macht erwдchst aus den Lдufen von Waffen.';Mao Tse-tung;'Siіa polityczna wyrasta z lufy karabinu.';Mao Zedong;;;'Политическая сила растет из ствола винтовки.';Мао Цзе Дун
'From my rotting body, flowers shall grow and I am in them and that is eternity.';Edvard Munch;'De mon corps pourrissant, des fleurs pousseront et je serai en elles et c'est cela, l'йternitй.';Edvard Munch;'Dal mio corpo in putrefazione cresceranno dei fiori e io sarт dentro di loro: questa и l'eternitа.';Edvard Munch;'De mi cuerpo descompuesto, crecerбn las plantas y yo estarй en ellas, eso es la eternidad';Edvard Munch;Aus meinem verrottenden Kцrper werden Blumen spriessen, und ich werde ein Teil von ihnen sein, dass ist es was es meint ein Teil der Ewigkeit zu sein.';Edvard Munch;'Z mojego gnij№cego ciaіa kwiaty wzejd№ i ja w nich bкdк i to wіaњnie jest wiecznoњж.';Edvard Munch;;;'Из моего гниющего тела будут расти цветы, и я буду в них, я стал вечностью.';Эдвард Манч
'I have nothing to offer but blood, toil, tears and sweat.';Sir Winston Churchill;'Je n'ai а vous offrir que du sang, de la peine, des larmes et de la sueur.';Sir Winston Churchill;'Non ho niente da offrire se non sangue, duro lavoro, lacrime e sudore.';Sir Winston Churchill;'No tengo nada mejor que ofrecer que sangre, esfuerzo, sudor y lagrimas.';Sir Winston Churchill;'Ich habe nichts anderes anzubieten als Blut, Schweiss und Trдnen.';Sir Winston Churchill;'Nie mam nic innego do zaoferowania poza krwi№, trudem, іzami i potem.';Sir Winston Churchill;;;'Мне нечего предложить, кроме крови, усталости, слез и пота.';Уинстон Черчилль
'The only thing that we have to fear is fear itself.';Franklin D. Roosevelt;'La seule chose que nous ayons а craindre est la peur elle-mкme.';Franklin D. Roosevelt;'L'unica cosa di cui dobbiamo avere paura и la paura stessa.';Franklin D. Roosevelt;'La ъnica cosa a la que tenemos miedo es al miedo';Franklin D. Roosevelt;'Das einzige was wir fьrchten mьssen ist die Furcht selbst.';Franklin D. Roosevelt;'Jedyn№ rzecz№, ktуrej powinniњmy siк lкkaж jest sam lкk.';Franklin D. Roosevelt;;;'Есть только одна вещь, которой мы должны бояться. Это мы сами.';Франклин Делано Рузвельт
'Only the dead have seen the end of war.';Plato;'Seuls les morts voient la fin des guerres.';Platon;'Solo i morti hanno visto la fine della guerra.';Platone;'Solo la muerte ha visto el final de la guerra';Plato;Nur die Toten haben das Ende des Krieges gesehen.';Plato;'Tylko umarli zobaczyli koniec wojny.';Platon;;;'Только мертвые видели конец войне.';Платон
Success is not final, failure is not fatal. It is the courage to continue that counts.';Sir Winston Churchill;'Le succиs, c'est d'кtre capable d'aller а l'йchec sans perdre son enthousiasme.';Sir Winston Churchill;'Il successo non и definitivo, la sconfitta non и fatale: и il coraggio di continuare che conta.';Sir Winston Churchill;'El йxito no es el final, fracasar no es mortal. Es el valor a continuar lo que realmente cuenta.';Sir Winston Churchill;'Erfolg wдhrt nicht ewig, eine Niederlage ist nicht fatal. Was zдhlt ist der Mut weiterzumachen.';Sir Winston Churchill;'Sukces nie jest koсcem, poraїka nie jest ostateczna. Liczy siк odwaga, by kontynuowaж.';Sir Winston Churchill;;;'Успех не конечен, неудача не смертельна. Надо смело продолжать попытки.';Уинстон Черчилль
'There never was a good war or a bad peace.';Benjamin Franklin;'Il n'a jamais existй de bonne guerre ou de mauvaise paix.';Benjamin Franklin;'Non c'и mai stata una buona guerra o una cattiva pace.';Benjamin Franklin;'Nunca ha existido una buena guerra o una mala paz.';Benjamin Franklin;Es gab niemals einen guten Krieg oder einen schlechten Frieden.';Benjamin Franklin;'Nigdy nie byіo dobrej wojny, albo zіego pokoju.';Beniamin Franklin;;;'Никогда не было хороших войн или плохого мира.';Бенджамин Франклин
'Si vis pacem, para bellum (If you want peace, prepare for war).';Vegetius;'Si tu veux la paix, prйpare la guerre.';Vegetius;'Si vis pacem, para bellum - se vuoi la pace, preparati alla guerra.';Vegetius;'Si vis pacem, para bellum (Si quieres paz, preparate para la guerra).';Vegetius;Si vis pacem, para bellum ( Wenn Du Frieden willst, bereite den Krieg vor ).';Vegetius;Si vis pacem, para bellum (Chcesz pokoju, szykuj siк do wojny).';Wegecjusz;;;'Si vis pacem, para bellum (Хочешь мира - готовься к войне).';Вегеций
'Patriots always talk of dying for their country and never of killing for their country.';Bertrand Russell;'Les patriotes parlent toujours de mourir pour leur patrie, mais jamais de tuer pour leur patrie.';Bertrand Russell;'I patrioti parlano sempre di morire per il proprio paese e mai di uccidere per il proprio paese.';Bertrand Russell;'Los Patriotas siempre hablan de morir por su paнs, nunca de matar por su paнs';Bertrand Russell;'Patrioten sprechen immer nur davon, fьr ihr Land zu sterben. Sie sprechen nie darьber, fьr ihr Land zu tцten.';Bertrand Russell;'Patrioci zawsze mуwi№ o umieraniu za swуj kraj, a nigdy o zabijaniu dla swojego kraju.';Bertrand Russell;;;'Патриоты всегда говорят о смерти за свою родину, а не об убийстве во имя нее.';Бертран Рассел
'He who fears being conquered is sure of defeat.';Napoleon Bonaparte;'Celui qui craint d'кtre conquis est sыr de connaоtre la dйfaite.';Napolйon Bonaparte;'Chi ha paura di essere conquistato и sicuro della sconfitta.';Napoleone Bonaparte;'El que teme ser conquistado, seguramente serб derrotado.';Napoleon Bonaparte;Wer sich davor fьrchtet besiegt zu werden, der wird besiegt.';Napoleon Bonaparte;'Ten kto obawia siк bycia pokonanym juї poniуsі klкskк.';Napoleon Bonaparte;;;'Тот, кто боится проиграть, уже проиграл.';Наполеон Бонапарт
'You can't say civilization don't advance - for in every war, they kill you in a new way.';Will Rogers;'On ne peut pas nier que la civilisation fait des progrиs, puisqu'а chaque nouvelle guerre, elle invente de nouvelles faзons de tuer.';Will Rogers;'Non si puт dire che la civilizzazione non progredisca - in ogni nuova guerra, ti uccidono con nuovi metodi.';Will Rogers;'No se puede decir que la civilizaciуn no ha avanzado - en cada guerra te matan de una manera diferente.';Will Rogers;'Niemand kann behaupten, daЯ Zivilisationen sich nicht entwickeln. In jedem Krieg wird man auf eine neue Art und Weise getцtet.';Will Rogers;'Nie moїna powiedzieж, їe cywilizacja nie idzie naprzуd - w kaїdej wojnie zabija siк w inny sposуb.';Will Rogers;;;'Нельзя говорить, что цивилизации не развиваются. На каждой войне они убивают по-разному.';Уилл Роджерс
'If you are going through hell...keep going.';Sir Winston Churchill;'Si vous traversez l'enfer... Surtout, ne vous arrкtez pas.';Sir Winston Churchill;'Se stai attraversando l'inferno... continua ad avanzare.';Sir Winston Churchill;'Si usted esta atravesando el infierno…siga adelante.';Sir Winston Churchill;Wenn Du durch die Hцlle gehst, dann bleib nicht stehen.';Sir Winston Churchill;'Jeњli przedzierasz siк przez piekіo… nie przestawaj iњж.';Sir Winston Churchill;;;'Если вы идете через ад... Идите.';Уинстон Черчилль
'I dream of giving birth to a child who will ask, 'Mother, what was war?'';Eve Merriam;'Plus de guerre ! Nous n'acceptons pas que dans aucun cas, pour aucune cause, dans aucune circonstance, la guerre,;que nous avons clouй au pilori comme un crime, puisse se rйveiller contre les peuples.' Aristide Briand;'Il formare l'Italia, fondere insieme gli elementi che la compongono, armonizzare il Nord con il Sud, presenta altrettanti difficoltа di una guerra;contro l'Austria o una lotta con Roma.' - Camillo Benso, conte di Cavour;'Sueсo con dar a luz a un niсo que me pregunte, 'Mama, їQuй era la guerra?'';Eve Merriam;Ich trдume davon Kinder zu haben die mich fragen: 'Mutter, was ist Krieg ?'';Eve Merriam;'Marzк o tym, by urodziж dziecko, ktуre zapyta mnie 'Mamo, co to jest wojna?'';Eve Merriam;;;'Хотела бы я родить ребенка, который спросит: 'Мама, что такое война?';Ив Мерриам
'The ballot is stronger than the bullet.';Abraham Lincoln;'Un bulletin de vote vaut plus qu'une balle.';Abraham Lincoln;'L'urna elettorale и piщ forte dei proiettili.';Abraham Lincoln;'El voto es mas fuerte que las balas.';Abraham Lincoln;Wahlenurnen sind stдrker als Kugeln.';Abraham Lincoln;'Gіos w urnie jest silniejszy od pocisku.';Abraham Lincoln;;;'Избирательный бюллетень тяжелее пули.';Абрахам Линкольн
'Everyone's a pacifist between wars.  It's like being a vegetarian between meals.';Colman McCarthy;'Une mauvaise paix vaut mieux qu'une bonne guerre.';Proverbe russe;'Tutti sono pacifisti tra una guerra e l'altra. E' come essere vegetariani tra il pranzo e la cena.';Colman McCarthy;'Ser pacifista entre una guerra y otra.  Es como ser vegetariano entre una comida y otra.';Colman McCarthy;Jeder ist zwischen den Kriegen ein Pazifist. Es ist wie ein Vegetarier zwischen zwei Mahlzeiten zu sein.';Colman McCarthy;'Kaїdy jest pacyfist№ w czasie pokoju. To jak byж wegetarianinem miкdzy posiіkami.';Colman McCarthy;;;'Все пацифисты, когда нет войны. Это все равно, что быть вегетарианцем, нет мяса.';Колман Маккарти
'The most persistent sound which reverberates through men's history is the beating of war drums.';Arthur Koestler;'Il suffit d'un souffle de haine pour commencer une guerre.';Anatole France, 1935;'Il suono piщ persistente che riverbera attraverso la storia umana и il battere dei tamburi di guerra.';Arthur Koestler;'El sonido mas persistente que permanece  a travйs de la historia de los hombres es el vibrar de los tambores de guerra.';Arthur Koestler;'Das am weitesten verbreitete Gerдusch in der Geschichte der Menschheit ist das schlagen der Kriegstrommeln.';Arthur Koestler;'Najbardziej trwaіym dџwiкkiem, rozbrzmiewaj№cym w historii ludzkoњci, jest bicie w bкbny wojenne.';Arthur Koestler;;;'Через историю идет один звук - звук боевых барабанов.';Кестлер, Артур
'War would end if the dead could return.';Stanley Baldwin;'La guerre est la seule vйritable йcole du chirurgien.';Hippocrate;'Le guerre finirebbero se morti potessero tornare in vita.';Stanley Baldwin;'Si los muertos pudiesen regresar, la guerra acabarнa.';Stanley Baldwin;Es wьrde keine Kriege mehr geben, kehrten die Toten zurьck.';Stanley Baldwin;'Wojna byіaby skoсczona, gdyby umarli mogli powrуciж.';Stanley Baldwin;;;'Войны закончатся, когда мертвые вернутся.';Стэнли Болдуин
'War will exist until that distant day when the conscientious objector enjoys the same reputation and prestige that the warrior does today.';John F. Kennedy;'Braves devant l'ennemi, lвches devant la guerre, c'est la devise des vrais gйnйraux.';Jean Giraudoux;'La guerra esisterа fino al distante giorno in cui gli obiettori di coscienza godranno della stessa reputazione e dello stesso prestigio di cui i guerrieri godono oggi.';John F. Kennedy;'La guerra existirб, hasta el lejano dнa en que un objetor de conciencia goce de la misma reputaciуn que un guerrero tiene hoy.';John F. Kennedy;'Kriege wird es bis zu jenem fernen Tage geben, an dem Kriegsdienstverweigerer dieselbe Reputation geniessen wie die Soldaten heutzutage.';John F. Kennedy;'Wojny bкd№ miaіy miejsce, dopуki nie nastanie dzieс, gdy wzbraniaj№cy siк od przemocy czіowiek bкdzie siк siк cieszyі tak№ sam№ reputacj№ i prestiїem jakim teraz ciesz№ siк wojownicy.';John F. Kennedy;;;'Войны будут продолжаться, пока честный и порядочный человек не будет иметь ту же репутацию и престиж, что и вояка.';Джон Кеннеди
'I think war might be God's way of teaching us geography.';Paul Rodriguez;'On est volй а la bourse, comme on est tuй а la guerre, par des gens qu'on ne voit pas.';Alfred Capus;'Penso che le guerra possono essere il modo con cui Dio ci insegna la geografia.';Paul Rodriguez;'Pienso que la guerra puede ser la manera que tiene Dios de enseсarnos geografнa.';Paul Rodriguez;Ich glaube, Krieg ist Gottes Weg, uns Geographie zu lehren;Paul Rodriguez;'Myњlк, їe wojna jest boskim pomysіem na nauczenie nas geografii.';Paul Rodriguez;;;'Возможно война, это попытка бога обучить нас географии.';Пол Родригес
'Man has no right to kill his brother.  It is no excuse that he does so in uniform : he only adds the infamy of servitude to the crime of murder.';Percy Bysshe Shelley;'Ah ! Ces diplomates. Quels bavards ! Pour les faire taire, un seul moyen : les abattre а la mitrailleuse.';Josef Stalin а Charles de Gaulle;'Un uomo non ha nessun diritto di uccidere suo fratello. Non и una scusa il fatto che lo faccia in uniforme: aggiunge solo l'infamia della servitа al crimine dell'omicido.';Percy Bysshe Shelley;'Un hombre no tiene derecho a matar a su hermano. No se puede excusar en que lo ha hecho vistiendo el uniforme: solo consigue aсadir infamia al crimen de asesinato.';Percy Bysshe Shelley;'Kein Mensch hat das Recht, seinen Bruder zu tцten. Es ist keine Entschuldigung, dabei eine Uniform zu tragen, es erhцht nur die Unerhцrtheit ein Verbrechen zu begehen.';Percy Bysshe Shelley;'Czіowiek nie ma prawa zabiж swego brata. Nie jest usprawiedliwieniem, їe czyni to ubrany w mundur: dodaje tym samym jedynie niesіawк sіuїalczoњci do zbrodni mordu.';Percy Bysshe Shelley;;;'Человек не имеет права убить своего брата, даже если он делает это в форме. Форма это отягчающее обстоятельство.';Перси Бише Шелли
'Anyone who has ever looked into the glazed eyes of a soldier dying on the battlefield will think hard before starting a war.';Otto von Bismarck;'Le gouvernement de l'homme par l'homme, sous quelque nom qu'il se dйguise, est oppression.';Joseph Proudhon;'Chiunque abbia guardato negli occhi di un soldato morente sul campo di battaglia ci penserа bene prima di iniziare una guerra.';Otto von Bismarck;'Todo aquel que alguna vez haya visto dentro de lo ojos de un soldado moribundo en una batalla, se lo pensarнa dos veces antes de empezar una guerra.';Otto von Bismarck;'Jeder, der einmal in die sterbenden Augen eines Soldaten auf dem Schlachtfeld geblickt hat, wird sich hьten, einen Krieg zu beginnen.';Otto von Bismarck;Ktokolwiek patrzyі kiedyњ w gasn№ce oczy umieraj№cego na polu bitwy їoіnierza pomyњli dіugo, zanim zacznie wojnк.';Otto von Bismark;;;'Каждый, кто хоть раз смотрел в глаза смертельно раненому солдату, дважды подумает, прежде чем начинать войну.';Отто фон Бисмарк
